real_timestamp,Zone,R1,I1,R2,I2,R3,I3,R4,I4,R5,I5,R6,I6,R7,I7,R8,I8,R9,I9,R10,I10,R11,I11,R12,I12,R13,I13,R14,I14,R15,I15,R16,I16,R17,I17,R18,I18,R19,I19,R20,I20,R21,I21,R22,I22,R23,I23,R24,I24,R25,I25,R26,I26,R27,I27,R28,I28,R29,I29,R30,I30,R31,I31,R32,I32,R33,I33,R34,I34,R35,I35,R36,I36,R37,I37,R38,I38,R39,I39,R40,I40,R41,I41,R42,I42,R43,I43,R44,I44,R45,I45,R46,I46,R47,I47,R48,I48,R49,I49,R50,I50,R51,I51,R52,I52,R53,I53,R54,I54,R55,I55,R56,I56,R57,I57,R58,I58,R59,I59,R60,I60,R61,I61,R62,I62,R63,I63,R64,I64
2.14463,1,82,-96,4,0,0,0,0,0,0,0,0,0,16,3,17,4,17,4,16,5,16,5,16,6,15,7,15,7,15,7,15,7,14,7,14,7,14,8,13,8,13,8,13,7,13,8,12,7,13,8,12,7,13,7,13,6,13,6,14,6,14,6,14,6,0,0,14,6,14,6,15,6,14,4,15,5,15,6,15,5,15,4,16,4,16,4,16,3,17,4,18,4,19,4,18,4,19,3,19,3,19,3,19,4,20,4,20,4,20,4,20,4,21,3,20,4,20,4,0,0,0,0,0,0,0,0,0,0
2.15603,1,37,80,2,0,0,0,0,0,0,0,0,0,19,-11,20,-9,20,-9,20,-7,20,-7,19,-6,19,-6,19,-4,19,-4,18,-4,19,-3,18,-4,18,-4,17,-4,17,-3,17,-4,17,-3,16,-3,16,-4,16,-4,16,-5,17,-5,16,-5,17,-6,17,-6,17,-7,0,0,17,-7,17,-7,18,-8,17,-8,17,-8,18,-9,18,-10,18,-10,18,-10,19,-11,19,-12,19,-11,19,-12,20,-12,21,-12,21,-13,22,-13,22,-13,23,-13,22,-13,23,-13,23,-13,23,-14,24,-14,23,-13,23,-13,0,0,0,0,0,0,0,0,0,0
2.16259,1,37,80,2,0,0,0,0,0,0,0,0,0,-3,20,-5,18,-5,19,-6,18,-6,18,-7,17,-8,17,-8,16,-8,16,-7,15,-7,16,-7,15,-7,14,-7,15,-7,13,-7,14,-6,14,-6,13,-6,14,-6,14,-6,14,-6,14,-5,14,-4,15,-4,16,-4,16,0,0,-4,16,-3,17,-3,17,-3,16,-3,17,-3,18,-2,18,-2,18,-2,19,-1,19,-1,20,0,20,0,21,-1,22,-1,22,0,23,0,22,-1,23,-1,24,-1,24,-1,24,-2,24,-1,24,0,25,0,24,-1,25,0,0,0,0,0,0,0,0,0,0
2.1696,1,84,-64,4,0,0,0,0,0,0,0,0,0,-19,4,-19,2,-19,3,-19,2,-18,1,-17,0,-17,0,-17,-1,-17,-1,-17,-1,-16,-2,-15,-2,-16,-2,-16,-1,-16,-2,-15,-1,-14,-1,-14,0,-14,0,-14,0,-15,1,-15,0,-15,2,-16,2,-16,2,-16,2,0,0,-16,2,-17,2,-17,2,-16,4,-17,5,-17,3,-18,5,-19,2,-17,11,-18,7,-20,6,-20,6,-21,7,-20,6,-23,7,-22,6,-23,7,-22,7,-24,6,-23,7,-24,6,-25,7,-25,7,-25,7,-25,7,-25,7,0,0,0,0,0,0,0,0,0,0
2.17567,1,84,-64,4,0,0,0,0,0,0,0,0,0,0,19,-1,17,-1,19,-2,18,-2,17,-4,16,-4,17,-4,16,-4,15,-5,14,-5,15,-5,14,-5,14,-4,13,-4,13,-4,14,-4,13,-3,12,-3,12,-2,13,-2,14,-2,13,-1,13,-1,14,-1,15,-1,15,0,0,0,15,1,16,1,16,1,16,1,16,1,16,2,16,2,17,3,18,2,19,3,20,3,19,4,20,4,21,4,21,5,22,5,23,5,23,5,24,4,24,5,24,4,24,4,25,4,26,4,25,4,26,0,0,0,0,0,0,0,0,0,0
2.18108,1,84,-64,4,0,0,0,0,0,0,0,0,0,15,-5,14,-5,14,-4,14,-3,14,-3,14,-3,13,-2,12,-1,13,-2,12,0,12,0,12,0,11,0,11,0,11,0,11,0,11,-1,10,0,10,-1,11,-1,10,-2,11,-2,11,-2,12,-3,12,-3,12,-4,0,0,12,-3,12,-4,13,-3,13,-4,13,-5,13,-5,14,-5,14,-6,15,-5,15,-7,15,-7,16,-6,17,-7,16,-7,17,-7,17,-8,19,-9,18,-8,19,-8,19,-8,20,-8,20,-8,21,-7,21,-8,21,-8,21,-8,0,0,0,0,0,0,0,0,0,0
2.18665,1,84,-64,4,0,0,0,0,0,0,0,0,0,4,17,4,18,2,18,2,19,0,16,0,19,-1,18,-1,15,-3,16,-3,15,-1,15,-2,15,-2,14,-2,13,-3,13,-2,13,-3,13,0,10,0,11,0,11,0,12,1,12,2,11,3,12,4,13,4,13,0,0,5,14,6,14,6,14,4,14,8,13,5,17,8,15,10,16,1,20,7,14,11,15,9,17,10,17,12,21,11,16,13,21,13,20,12,23,15,24,17,20,15,25,16,23,17,21,17,24,19,27,15,24,0,0,0,0,0,0,0,0,0,0
2.19208,1,84,-64,4,0,0,0,0,0,0,0,0,0,-8,-8,-8,-10,-8,-9,-7,-10,-7,-10,-5,-10,-5,-11,-4,-9,-6,-10,-3,-10,-4,-9,-3,-9,-3,-10,-2,-9,-2,-10,-2,-8,-3,-8,-3,-8,-3,-7,-2,-8,-3,-8,-3,-8,-4,-7,-5,-7,-4,-7,-5,-8,0,0,-6,-7,-6,-7,-7,-7,-7,-7,-7,-7,-8,-7,-8,-7,-9,-6,-9,-7,-10,-6,-10,-6,-11,-7,-11,-7,-11,-7,-12,-7,-13,-7,-13,-7,-14,-7,-14,-8,-14,-7,-15,-8,-15,-8,-15,-8,-17,-8,-16,-8,-16,-8,0,0,0,0,0,0,0,0,0,0
2.19923,1,84,-64,4,0,0,0,0,0,0,0,0,0,7,-9,8,-8,9,-8,9,-7,10,-7,10,-5,10,-6,10,-5,10,-4,10,-4,10,-4,10,-3,10,-3,9,-3,9,-2,9,-2,8,-2,8,-2,8,-3,8,-3,7,-3,8,-3,7,-3,7,-4,7,-5,7,-5,0,0,7,-5,7,-6,7,-6,6,-6,7,-7,7,-7,7,-8,6,-8,7,-8,7,-9,7,-10,6,-10,7,-10,7,-11,6,-11,7,-12,7,-13,7,-13,7,-13,8,-14,8,-14,8,-14,8,-15,8,-16,9,-15,8,-16,0,0,0,0,0,0,0,0,0,0
2.21902,1,84,-64,4,0,0,0,0,0,0,0,0,0,13,7,12,7,11,8,11,9,12,10,9,10,9,10,9,11,7,10,7,11,8,10,6,10,6,10,6,10,5,9,4,10,5,9,5,9,4,8,4,7,4,7,5,6,6,6,5,6,6,6,7,5,0,0,7,5,8,5,8,5,9,3,9,4,9,4,10,4,10,2,10,3,11,3,11,2,12,2,13,2,14,2,14,2,14,1,15,2,15,2,16,2,16,2,17,2,17,2,18,2,18,2,18,2,18,2,0,0,0,0,0,0,0,0,0,0
2.23107,1,84,-64,4,0,0,0,0,0,0,0,0,0,-16,1,-16,0,-16,-1,-16,-2,-16,-2,-15,-3,-15,-3,-15,-4,-14,-5,-14,-5,-13,-5,-12,-5,-12,-5,-11,-5,-11,-5,-11,-5,-10,-5,-10,-4,-9,-4,-9,-3,-8,-3,-8,-2,-7,-2,-9,-1,-8,-1,-8,0,0,0,-8,1,-7,2,-8,2,-8,3,-8,3,-8,4,-8,4,-7,4,-7,4,-7,6,-7,7,-7,8,-8,7,-7,8,-7,8,-7,9,-8,10,-8,10,-8,11,-8,11,-8,11,-8,12,-8,13,-8,14,-9,13,-9,14,0,0,0,0,0,0,0,0,0,0
2.24598,1,84,-64,4,0,0,0,0,0,0,0,0,0,15,12,13,13,13,14,12,14,12,14,11,14,10,15,9,15,8,15,8,15,7,14,6,14,6,14,5,13,5,13,6,12,5,11,5,11,5,11,5,9,5,9,5,9,5,8,6,7,5,6,7,6,0,0,7,5,7,5,8,5,8,4,8,4,9,3,9,3,9,2,9,2,9,1,10,1,10,0,11,0,11,0,11,-1,12,-1,12,-2,13,-2,14,-2,14,-4,15,-3,14,-4,15,-4,15,-4,15,-4,15,-5,0,0,0,0,0,0,0,0,0,0
2.25172,1,84,-64,4,0,0,0,0,0,0,0,0,0,18,-12,19,-12,20,-11,21,-10,20,-8,20,-8,20,-6,19,-6,20,-4,19,-5,18,-3,19,-3,17,-3,17,-2,16,-2,15,-1,15,-1,14,-2,14,-3,13,-3,12,-3,12,-3,10,-4,10,-5,10,-5,9,-6,0,0,8,-6,7,-7,8,-7,8,-7,7,-8,6,-8,6,-9,5,-9,5,-10,4,-11,4,-11,3,-12,4,-13,3,-13,3,-14,2,-14,2,-14,1,-15,1,-16,1,-16,0,-16,-1,-16,0,-17,0,-18,-1,-18,-1,-19,0,0,0,0,0,0,0,0,0,0
2.26312,1,84,-64,4,0,0,0,0,0,0,0,0,0,12,24,10,24,10,25,8,25,7,26,6,24,4,24,3,24,3,24,2,24,2,22,1,21,0,21,1,22,0,19,0,20,1,17,1,17,0,17,1,17,1,15,2,15,2,14,2,14,4,15,4,14,0,0,4,13,6,13,5,13,6,12,6,12,7,13,7,12,8,11,7,11,8,10,10,10,11,10,11,10,11,9,12,9,12,9,14,9,14,8,15,8,15,8,15,8,16,8,17,8,17,7,17,8,18,8,0,0,0,0,0,0,0,0,0,0
2.27211,1,84,-64,4,0,0,0,0,0,0,0,0,0,-19,13,-19,12,-20,12,-21,11,-21,9,-21,8,-20,8,-20,7,-20,6,-20,6,-19,5,-20,4,-19,3,-18,4,-17,4,-18,3,-16,2,-16,3,-15,3,-15,4,-15,4,-14,4,-14,4,-14,4,-14,5,-13,5,0,0,-13,6,-12,6,-12,6,-12,7,-11,7,-11,7,-11,8,-11,8,-10,8,-10,9,-10,9,-9,10,-9,10,-9,10,-8,11,-8,11,-7,12,-8,12,-8,12,-7,13,-7,13,-7,14,-7,13,-6,15,-7,15,-7,14,0,0,0,0,0,0,0,0,0,0
2.2803,1,84,-64,4,0,0,0,0,0,0,0,0,0,-8,25,-9,25,-11,25,-11,25,-12,24,-13,22,-13,22,-14,20,-14,19,-14,19,-15,18,-14,17,-15,17,-14,16,-14,16,-13,16,-13,15,-13,14,-12,14,-12,15,-11,15,-10,14,-10,14,-9,14,-9,14,-9,14,0,0,-8,14,-8,14,-7,15,-7,14,-6,14,-6,14,-5,15,-4,15,-4,15,-4,15,-3,15,-3,16,-2,15,-1,16,-1,15,-1,17,0,16,0,17,0,17,1,17,2,17,2,18,2,18,3,19,2,19,3,18,0,0,0,0,0,0,0,0,0,0
2.30262,1,84,-64,4,0,0,0,0,0,0,0,0,0,-4,-10,-4,-9,-4,-10,-2,-9,-2,-9,-2,-9,-2,-10,-1,-9,-1,-9,0,-9,0,-8,0,-8,-1,-9,0,-8,0,-8,-1,-8,-1,-7,-1,-7,0,-7,-1,-7,0,-7,-1,-7,-1,-7,-1,-7,-1,-7,-1,-7,0,0,-1,-7,-2,-7,-2,-6,-2,-6,-1,-6,-2,-6,-2,-6,-3,-6,-4,-7,-2,-7,-3,-6,-3,-6,-4,-6,-3,-5,-3,-6,-4,-6,-4,-6,-3,-6,-4,-6,-4,-6,-4,-5,-5,-6,-5,-6,-5,-6,-5,-6,-5,-6,0,0,0,0,0,0,0,0,0,0
2.31018,1,84,-64,4,0,0,0,0,0,0,0,0,0,14,15,13,17,12,17,12,18,11,17,10,17,9,17,9,17,7,17,8,18,7,17,7,17,6,16,6,17,6,16,6,15,5,15,6,15,6,15,6,14,6,15,6,14,7,14,6,14,7,14,6,14,0,0,6,13,7,14,7,12,7,13,7,13,7,12,7,12,7,11,7,11,9,11,9,10,9,11,9,10,10,11,9,10,10,10,11,9,11,9,11,9,11,9,12,9,13,9,13,9,14,8,13,8,13,8,0,0,0,0,0,0,0,0,0,0
2.32574,1,84,-64,4,0,0,0,0,0,0,0,0,0,15,10,13,12,14,12,12,12,12,13,11,12,11,13,10,13,10,13,10,13,9,12,9,12,9,13,8,12,9,12,8,11,7,11,8,11,9,11,8,11,8,12,8,11,8,11,8,11,9,11,9,11,0,0,8,11,8,11,9,11,9,10,9,10,8,10,9,10,8,9,9,9,9,9,9,8,10,8,11,9,10,9,10,8,11,7,11,8,11,7,12,7,14,10,11,6,12,7,12,7,13,6,13,6,13,6,0,0,0,0,0,0,0,0,0,0
2.33698,1,84,-64,4,0,0,0,0,0,0,0,0,0,14,-13,15,-12,15,-12,16,-11,16,-11,15,-10,16,-9,15,-9,15,-8,15,-8,15,-8,15,-7,16,-7,15,-7,15,-7,14,-6,15,-7,15,-7,14,-7,15,-8,15,-8,15,-7,14,-7,16,-8,16,-7,15,-7,0,0,15,-6,15,-7,15,-7,14,-8,14,-7,14,-8,15,-7,15,-7,13,-7,14,-9,13,-8,13,-9,12,-9,13,-9,12,-9,12,-10,13,-10,13,-10,13,-10,13,-11,12,-11,13,-12,13,-12,13,-13,13,-12,12,-13,0,0,0,0,0,0,0,0,0,0
2.34341,1,84,-64,4,0,0,0,0,0,0,0,0,0,7,14,7,14,5,15,6,16,5,15,5,15,4,15,4,15,4,15,3,16,3,15,2,15,2,15,3,15,2,13,2,14,1,14,2,14,2,14,2,14,2,15,2,15,1,15,2,14,2,15,2,15,0,0,1,14,2,15,2,15,2,16,2,14,2,15,2,15,1,14,2,14,2,14,2,14,3,15,4,14,3,14,4,14,5,14,5,15,5,14,5,15,4,14,5,14,6,16,6,15,7,16,6,15,6,16,0,0,0,0,0,0,0,0,0,0
2.36108,1,84,-64,4,0,0,0,0,0,0,0,0,0,3,13,3,13,2,14,2,14,0,14,0,13,0,13,-1,13,-1,13,-1,13,-1,13,-1,12,-2,13,-1,12,-2,12,-2,13,-1,12,-1,12,-1,12,-1,13,-2,13,-2,13,-2,13,-1,14,-2,13,-2,13,0,0,-2,13,-1,13,-1,13,-1,13,-1,13,-2,13,-1,13,-1,13,-1,12,-1,13,0,14,0,14,0,13,0,13,0,13,1,14,1,14,1,14,1,14,2,14,1,14,1,15,1,15,2,15,2,15,2,16,0,0,0,0,0,0,0,0,0,0
2.36692,1,84,-64,4,0,0,0,0,0,0,0,0,0,-12,10,-12,10,-13,10,-13,9,-13,8,-13,8,-13,7,-13,7,-13,7,-13,6,-13,6,-13,6,-13,6,-13,6,-13,7,-13,7,-13,6,-12,7,-13,6,-13,7,-13,6,-14,7,-13,6,-14,7,-14,7,-14,7,0,0,-14,6,-14,6,-14,7,-14,6,-14,6,-14,6,-14,7,-14,6,-13,7,-13,7,-13,7,-13,8,-13,8,-14,8,-13,8,-14,9,-13,9,-14,9,-14,9,-14,9,-14,9,-14,10,-15,9,-14,10,-15,10,-15,10,0,0,0,0,0,0,0,0,0,0
2.37354,1,84,-64,4,0,0,0,0,0,0,0,0,0,10,11,9,11,9,12,8,12,8,12,7,13,7,13,7,12,7,12,6,12,6,12,6,12,6,12,6,12,6,12,7,12,6,12,7,12,6,11,7,12,6,12,7,12,6,12,6,12,6,13,7,13,0,0,7,12,7,13,7,12,7,12,7,12,8,12,7,13,7,12,8,12,8,11,8,12,8,12,8,12,8,11,9,11,9,11,10,13,11,12,10,12,11,12,11,13,12,12,11,13,11,13,11,14,12,13,0,0,0,0,0,0,0,0,0,0
2.3811,1,84,-64,4,0,0,0,0,0,0,0,0,0,-18,6,-19,5,-19,6,-19,4,-19,4,-19,3,-17,3,-18,2,-18,3,-18,2,-17,2,-18,2,-18,3,-18,2,-17,2,-17,2,-17,2,-17,2,-18,2,-17,3,-18,2,-18,2,-18,2,-18,3,-18,2,-18,3,0,0,-19,3,-19,2,-18,3,-17,3,-18,3,-19,2,-19,3,-19,4,-19,4,-18,4,-18,5,-20,5,-20,5,-20,6,-19,5,-21,7,-19,5,-20,6,-21,5,-20,7,-21,6,-22,6,-22,6,-22,7,-23,7,-22,6,0,0,0,0,0,0,0,0,0,0
2.39613,1,84,-64,4,0,0,0,0,0,0,0,0,0,2,-19,2,-19,4,-20,4,-21,4,-19,5,-19,5,-18,5,-18,5,-18,5,-18,4,-18,4,-17,4,-18,4,-17,4,-17,4,-18,4,-18,3,-17,4,-19,4,-19,4,-18,5,-19,4,-18,3,-19,4,-19,4,-20,0,0,3,-19,4,-20,3,-19,3,-19,2,-19,3,-20,3,-20,3,-20,2,-20,2,-21,1,-21,1,-21,1,-21,1,-22,1,-22,1,-23,1,-22,2,-23,3,-23,2,-24,2,-24,2,-24,2,-24,3,-25,4,-24,3,-25,0,0,0,0,0,0,0,0,0,0
2.41389,1,84,-64,4,0,0,0,0,0,0,0,0,0,-16,-8,-15,-8,-15,-8,-16,-9,-14,-9,-14,-8,-14,-8,-13,-8,-13,-8,-13,-7,-13,-7,-13,-7,-14,-7,-14,-7,-14,-7,-14,-7,-14,-7,-13,-7,-14,-7,-15,-7,-14,-7,-15,-8,-15,-8,-15,-8,-16,-8,-16,-8,0,0,-15,-8,-15,-8,-16,-8,-16,-7,-16,-8,-16,-7,-16,-8,-16,-7,-17,-7,-17,-7,-18,-7,-18,-7,-18,-7,-19,-8,-18,-8,-18,-8,-19,-9,-19,-9,-19,-9,-19,-10,-19,-10,-19,-11,-18,-11,-19,-10,-18,-11,-19,-11,0,0,0,0,0,0,0,0,0,0
2.4311,1,84,-64,4,0,0,0,0,0,0,0,0,0,-8,-19,-7,-19,-5,-19,-6,-19,-6,-19,-5,-17,-6,-17,-6,-17,-5,-15,-7,-16,-7,-14,-7,-14,-9,-14,-8,-14,-8,-14,-8,-14,-10,-14,-10,-14,-10,-14,-10,-14,-12,-14,-11,-15,-11,-15,-11,-15,-12,-15,-11,-15,0,0,-12,-15,-12,-15,-12,-16,-12,-15,-13,-15,-14,-15,-13,-15,-14,-15,-14,-15,-15,-16,-15,-16,-16,-16,-15,-16,-17,-17,-16,-16,-17,-17,-17,-19,-16,-18,-17,-19,-16,-18,-16,-19,-17,-21,-15,-21,-16,-21,-14,-20,-14,-20,0,0,0,0,0,0,0,0,0,0
2.43824,1,84,-64,4,0,0,0,0,0,0,0,0,0,-20,-8,-19,-8,-19,-9,-19,-8,-17,-10,-17,-9,-16,-9,-16,-8,-15,-7,-15,-6,-15,-6,-15,-5,-15,-5,-14,-6,-15,-5,-16,-3,-17,-2,-17,-5,-17,-3,-17,-4,-18,-3,-18,-3,-18,-4,-18,-3,-18,-5,-17,-5,0,0,-18,-4,-19,-1,-21,-3,-18,-4,-21,-2,-18,-3,-20,-1,-20,0,-21,-1,-21,-2,-22,-1,-23,-2,-23,-2,-23,-2,-23,-2,-23,0,-25,-2,-26,-3,-24,-3,-24,-3,-24,-3,-25,-4,-26,-6,-24,-6,-24,-7,-24,-6,0,0,0,0,0,0,0,0,0,0
2.44775,1,84,-64,4,0,0,0,0,0,0,0,0,0,18,-9,18,-8,17,-7,18,-7,16,-6,15,-6,16,-5,14,-5,14,-5,13,-6,11,-5,12,-5,12,-7,11,-7,11,-8,10,-8,10,-9,10,-9,10,-9,10,-10,11,-9,11,-10,10,-10,11,-11,11,-10,11,-11,0,0,11,-10,11,-11,12,-11,10,-11,11,-11,10,-12,11,-11,10,-13,11,-12,11,-12,10,-13,11,-13,12,-14,12,-14,11,-13,13,-14,12,-14,13,-13,13,-13,13,-13,14,-13,15,-13,14,-13,15,-13,15,-13,15,-12,0,0,0,0,0,0,0,0,0,0
2.45519,1,84,-64,4,0,0,0,0,0,0,0,0,0,-8,-21,-7,-22,-7,-22,-7,-22,-5,-20,-5,-20,-4,-19,-4,-18,-3,-16,-5,-16,-5,-15,-5,-15,-6,-13,-6,-13,-6,-13,-6,-11,-7,-12,-7,-11,-9,-12,-8,-13,-10,-12,-9,-13,-9,-12,-11,-13,-9,-12,-10,-13,0,0,-10,-13,-10,-12,-10,-13,-10,-12,-11,-13,-11,-12,-11,-13,-11,-13,-11,-12,-11,-11,-13,-12,-13,-12,-13,-12,-13,-13,-13,-12,-13,-13,-13,-13,-14,-14,-13,-14,-12,-15,-13,-15,-12,-15,-13,-15,-14,-16,-12,-15,-12,-15,0,0,0,0,0,0,0,0,0,0
2.46377,1,84,-64,4,0,0,0,0,0,0,0,0,0,6,29,6,28,5,27,3,27,2,26,1,25,1,24,0,20,1,20,-1,18,1,18,1,18,1,15,2,14,3,14,5,14,5,13,6,13,6,12,6,12,9,12,7,12,7,12,8,13,9,13,9,14,0,0,8,11,9,13,10,12,10,12,9,12,11,11,10,12,10,12,12,11,12,12,11,12,11,12,13,13,12,12,14,13,12,12,15,13,14,12,13,14,13,13,12,14,15,15,15,16,14,16,11,16,12,15,0,0,0,0,0,0,0,0,0,0
